perturbation,cell_line,dose_value,time,n_cells,scaffold,smiles
2-Methoxyestradiol (2-MeOE2),A549,100.0,72.0,474,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),A549,1000.0,24.0,203,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),A549,1000.0,72.0,428,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),A549,10000.0,24.0,166,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),A549,10000.0,72.0,262,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),K562,10.0,24.0,250,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),K562,100.0,24.0,246,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),K562,1000.0,24.0,159,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),K562,10000.0,24.0,83,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),MCF7,10.0,24.0,524,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),MCF7,100.0,24.0,404,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),MCF7,1000.0,24.0,593,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
2-Methoxyestradiol (2-MeOE2),MCF7,10000.0,24.0,322,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O
A-366,A549,10.0,24.0,266,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
A-366,A549,100.0,24.0,241,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
A-366,A549,1000.0,24.0,194,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
A-366,A549,10000.0,24.0,281,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
A-366,K562,10.0,24.0,295,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
A-366,K562,100.0,24.0,233,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
A-366,K562,1000.0,24.0,269,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
A-366,K562,10000.0,24.0,260,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
A-366,MCF7,10.0,24.0,527,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
A-366,MCF7,100.0,24.0,425,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
A-366,MCF7,1000.0,24.0,420,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
A-366,MCF7,10000.0,24.0,453,C1=Nc2cc(OCCCN3CCCC3)ccc2C12CCC2,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4
ABT-737,A549,10.0,24.0,205,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ABT-737,A549,100.0,24.0,230,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ABT-737,A549,1000.0,24.0,201,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ABT-737,A549,10000.0,24.0,159,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ABT-737,K562,10.0,24.0,244,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ABT-737,K562,100.0,24.0,260,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ABT-737,K562,1000.0,24.0,204,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ABT-737,K562,10000.0,24.0,207,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ABT-737,MCF7,10.0,24.0,423,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ABT-737,MCF7,100.0,24.0,312,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ABT-737,MCF7,1000.0,24.0,295,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
ABT-737,MCF7,10000.0,24.0,379,O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)cc1)c1ccc(N2CCN(Cc3ccccc3-c3ccccc3)CC2)cc1,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-]
AC480 (BMS-599626),A549,10.0,24.0,233,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AC480 (BMS-599626),A549,100.0,24.0,193,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AC480 (BMS-599626),A549,1000.0,24.0,234,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AC480 (BMS-599626),A549,10000.0,24.0,237,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AC480 (BMS-599626),K562,10.0,24.0,236,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AC480 (BMS-599626),K562,100.0,24.0,241,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AC480 (BMS-599626),K562,1000.0,24.0,298,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AC480 (BMS-599626),K562,10000.0,24.0,188,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AC480 (BMS-599626),MCF7,10.0,24.0,481,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AC480 (BMS-599626),MCF7,100.0,24.0,574,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AC480 (BMS-599626),MCF7,1000.0,24.0,472,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AC480 (BMS-599626),MCF7,10000.0,24.0,371,O=C(Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1)OC[C@@H]1COCCN1,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F
AG-14361,A549,10.0,24.0,264,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
AG-14361,A549,100.0,24.0,254,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
AG-14361,A549,1000.0,24.0,209,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
AG-14361,A549,10000.0,24.0,233,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
AG-14361,K562,10.0,24.0,243,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
AG-14361,K562,100.0,24.0,236,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
AG-14361,K562,1000.0,24.0,228,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
AG-14361,K562,10000.0,24.0,220,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
AG-14361,MCF7,10.0,24.0,543,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
AG-14361,MCF7,100.0,24.0,610,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
AG-14361,MCF7,1000.0,24.0,523,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
AG-14361,MCF7,10000.0,24.0,493,O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O
AG-490 (Tyrphostin B42),A549,10.0,24.0,207,O=C(/C=C/c1ccccc1)NCc1ccccc1,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
AG-490 (Tyrphostin B42),A549,100.0,24.0,255,O=C(/C=C/c1ccccc1)NCc1ccccc1,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
AG-490 (Tyrphostin B42),A549,1000.0,24.0,205,O=C(/C=C/c1ccccc1)NCc1ccccc1,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
AG-490 (Tyrphostin B42),A549,10000.0,24.0,212,O=C(/C=C/c1ccccc1)NCc1ccccc1,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
AG-490 (Tyrphostin B42),K562,10.0,24.0,283,O=C(/C=C/c1ccccc1)NCc1ccccc1,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
AG-490 (Tyrphostin B42),K562,100.0,24.0,263,O=C(/C=C/c1ccccc1)NCc1ccccc1,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
AG-490 (Tyrphostin B42),K562,1000.0,24.0,308,O=C(/C=C/c1ccccc1)NCc1ccccc1,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
AG-490 (Tyrphostin B42),K562,10000.0,24.0,254,O=C(/C=C/c1ccccc1)NCc1ccccc1,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
AG-490 (Tyrphostin B42),MCF7,10.0,24.0,465,O=C(/C=C/c1ccccc1)NCc1ccccc1,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
AG-490 (Tyrphostin B42),MCF7,100.0,24.0,527,O=C(/C=C/c1ccccc1)NCc1ccccc1,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
AG-490 (Tyrphostin B42),MCF7,1000.0,24.0,433,O=C(/C=C/c1ccccc1)NCc1ccccc1,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
AG-490 (Tyrphostin B42),MCF7,10000.0,24.0,512,O=C(/C=C/c1ccccc1)NCc1ccccc1,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
AICAR (Acadesine),A549,10.0,24.0,272,c1cn([C@H]2CCCO2)cn1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
AICAR (Acadesine),A549,100.0,24.0,226,c1cn([C@H]2CCCO2)cn1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
AICAR (Acadesine),A549,1000.0,24.0,246,c1cn([C@H]2CCCO2)cn1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
AICAR (Acadesine),A549,10000.0,24.0,270,c1cn([C@H]2CCCO2)cn1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
AICAR (Acadesine),K562,10.0,24.0,240,c1cn([C@H]2CCCO2)cn1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
AICAR (Acadesine),K562,100.0,24.0,279,c1cn([C@H]2CCCO2)cn1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
AICAR (Acadesine),K562,1000.0,24.0,258,c1cn([C@H]2CCCO2)cn1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
AICAR (Acadesine),K562,10000.0,24.0,285,c1cn([C@H]2CCCO2)cn1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
AICAR (Acadesine),MCF7,10.0,24.0,579,c1cn([C@H]2CCCO2)cn1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
AICAR (Acadesine),MCF7,100.0,24.0,530,c1cn([C@H]2CCCO2)cn1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
AICAR (Acadesine),MCF7,1000.0,24.0,405,c1cn([C@H]2CCCO2)cn1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
AICAR (Acadesine),MCF7,10000.0,24.0,414,c1cn([C@H]2CCCO2)cn1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N
AMG-900,A549,10.0,24.0,169,c1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccncn4)cc3)c3ccccc23)c1,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N
AMG-900,A549,100.0,24.0,161,c1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccncn4)cc3)c3ccccc23)c1,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N
AMG-900,A549,1000.0,24.0,149,c1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccncn4)cc3)c3ccccc23)c1,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N
