sample_id,drug_id,drug_name,cell_context,dose_value,time,n_cells,smiles,scaffold,pubchem_cid,split_random,split_cell_heldout,split_scaffold_heldout,split_cell_scaffold_heldout
Carmofur__MCF7__10nM__24h,Carmofur,Carmofur,MCF7,10.0,24.0,422,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,O=c1cc[nH]c(=O)[nH]1,2577,train,test,train,excluded
Carmofur__MCF7__100nM__24h,Carmofur,Carmofur,MCF7,100.0,24.0,351,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,O=c1cc[nH]c(=O)[nH]1,2577,train,test,train,excluded
Carmofur__MCF7__1000nM__24h,Carmofur,Carmofur,MCF7,1000.0,24.0,405,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,O=c1cc[nH]c(=O)[nH]1,2577,train,test,train,excluded
Carmofur__MCF7__10000nM__24h,Carmofur,Carmofur,MCF7,10000.0,24.0,427,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,O=c1cc[nH]c(=O)[nH]1,2577,train,test,train,excluded
Cediranib (AZD2171)__A549__10nM__24h,Cediranib (AZD2171),Cediranib (AZD2171),A549,10.0,24.0,269,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,train,train,train,train
Cediranib (AZD2171)__A549__100nM__24h,Cediranib (AZD2171),Cediranib (AZD2171),A549,100.0,24.0,228,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,train,train,train,train
Cediranib (AZD2171)__A549__1000nM__24h,Cediranib (AZD2171),Cediranib (AZD2171),A549,1000.0,24.0,200,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,train,train,train,train
Cediranib (AZD2171)__A549__10000nM__24h,Cediranib (AZD2171),Cediranib (AZD2171),A549,10000.0,24.0,161,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,train,train,train,train
Cediranib (AZD2171)__K562__10nM__24h,Cediranib (AZD2171),Cediranib (AZD2171),K562,10.0,24.0,272,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,train,train,train,train
Cediranib (AZD2171)__K562__100nM__24h,Cediranib (AZD2171),Cediranib (AZD2171),K562,100.0,24.0,299,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,train,train,train,train
Cediranib (AZD2171)__K562__1000nM__24h,Cediranib (AZD2171),Cediranib (AZD2171),K562,1000.0,24.0,279,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,test,train,train,train
Cediranib (AZD2171)__K562__10000nM__24h,Cediranib (AZD2171),Cediranib (AZD2171),K562,10000.0,24.0,133,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,train,train,train,train
Cediranib (AZD2171)__MCF7__10nM__24h,Cediranib (AZD2171),Cediranib (AZD2171),MCF7,10.0,24.0,464,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,train,test,train,excluded
Cediranib (AZD2171)__MCF7__100nM__24h,Cediranib (AZD2171),Cediranib (AZD2171),MCF7,100.0,24.0,436,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,train,test,train,excluded
Cediranib (AZD2171)__MCF7__1000nM__24h,Cediranib (AZD2171),Cediranib (AZD2171),MCF7,1000.0,24.0,353,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,test,test,train,excluded
Cediranib (AZD2171)__MCF7__10000nM__24h,Cediranib (AZD2171),Cediranib (AZD2171),MCF7,10000.0,24.0,317,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,train,test,train,excluded
Celecoxib__A549__10nM__24h,Celecoxib,Celecoxib,A549,10.0,24.0,249,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,train,train,train,train
Celecoxib__A549__100nM__24h,Celecoxib,Celecoxib,A549,100.0,24.0,178,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,train,train,train,train
Celecoxib__A549__1000nM__24h,Celecoxib,Celecoxib,A549,1000.0,24.0,197,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,train,train,train,train
Celecoxib__A549__10000nM__24h,Celecoxib,Celecoxib,A549,10000.0,24.0,238,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,train,train,train,train
Celecoxib__K562__10nM__24h,Celecoxib,Celecoxib,K562,10.0,24.0,230,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,train,train,train,train
Celecoxib__K562__100nM__24h,Celecoxib,Celecoxib,K562,100.0,24.0,242,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,train,train,train,train
Celecoxib__K562__1000nM__24h,Celecoxib,Celecoxib,K562,1000.0,24.0,255,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,train,train,train,train
Celecoxib__K562__10000nM__24h,Celecoxib,Celecoxib,K562,10000.0,24.0,260,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,train,train,train,train
Celecoxib__MCF7__10nM__24h,Celecoxib,Celecoxib,MCF7,10.0,24.0,463,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,train,test,train,excluded
Celecoxib__MCF7__100nM__24h,Celecoxib,Celecoxib,MCF7,100.0,24.0,366,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,train,test,train,excluded
Celecoxib__MCF7__1000nM__24h,Celecoxib,Celecoxib,MCF7,1000.0,24.0,248,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,train,test,train,excluded
Celecoxib__MCF7__10000nM__24h,Celecoxib,Celecoxib,MCF7,10000.0,24.0,481,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,test,test,train,excluded
"Cerdulatinib (PRT062070, PRT2070)__A549__10nM__24h","Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",A549,10.0,24.0,231,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,train,train,train,train
"Cerdulatinib (PRT062070, PRT2070)__A549__100nM__24h","Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",A549,100.0,24.0,253,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,train,train,train,train
"Cerdulatinib (PRT062070, PRT2070)__A549__1000nM__24h","Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",A549,1000.0,24.0,256,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,train,train,train,train
"Cerdulatinib (PRT062070, PRT2070)__A549__10000nM__24h","Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",A549,10000.0,24.0,189,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,test,train,train,train
"Cerdulatinib (PRT062070, PRT2070)__K562__10nM__24h","Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",K562,10.0,24.0,281,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,train,train,train,train
"Cerdulatinib (PRT062070, PRT2070)__K562__100nM__24h","Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",K562,100.0,24.0,255,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,train,train,train,train
"Cerdulatinib (PRT062070, PRT2070)__K562__1000nM__24h","Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",K562,1000.0,24.0,247,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,train,train,train,train
"Cerdulatinib (PRT062070, PRT2070)__K562__10000nM__24h","Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",K562,10000.0,24.0,226,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,train,train,train,train
"Cerdulatinib (PRT062070, PRT2070)__MCF7__10nM__24h","Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",MCF7,10.0,24.0,657,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,train,test,train,excluded
"Cerdulatinib (PRT062070, PRT2070)__MCF7__100nM__24h","Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",MCF7,100.0,24.0,560,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,train,test,train,excluded
"Cerdulatinib (PRT062070, PRT2070)__MCF7__1000nM__24h","Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",MCF7,1000.0,24.0,534,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,train,test,train,excluded
"Cerdulatinib (PRT062070, PRT2070)__MCF7__10000nM__24h","Cerdulatinib (PRT062070, PRT2070)","Cerdulatinib (PRT062070, PRT2070)",MCF7,10000.0,24.0,427,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,train,test,train,excluded
Cimetidine __A549__10nM__24h,Cimetidine ,Cimetidine ,A549,10.0,24.0,282,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,train,train,train,train
Cimetidine __A549__100nM__24h,Cimetidine ,Cimetidine ,A549,100.0,24.0,224,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,train,train,train,train
Cimetidine __A549__1000nM__24h,Cimetidine ,Cimetidine ,A549,1000.0,24.0,172,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,train,train,train,train
Cimetidine __A549__10000nM__24h,Cimetidine ,Cimetidine ,A549,10000.0,24.0,177,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,train,train,train,train
Cimetidine __K562__10nM__24h,Cimetidine ,Cimetidine ,K562,10.0,24.0,239,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,train,train,train,train
Cimetidine __K562__100nM__24h,Cimetidine ,Cimetidine ,K562,100.0,24.0,248,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,train,train,train,train
Cimetidine __K562__1000nM__24h,Cimetidine ,Cimetidine ,K562,1000.0,24.0,242,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,test,train,train,train
Cimetidine __K562__10000nM__24h,Cimetidine ,Cimetidine ,K562,10000.0,24.0,244,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,train,train,train,train
Cimetidine __MCF7__10nM__24h,Cimetidine ,Cimetidine ,MCF7,10.0,24.0,486,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,train,test,train,excluded
Cimetidine __MCF7__100nM__24h,Cimetidine ,Cimetidine ,MCF7,100.0,24.0,571,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,train,test,train,excluded
Cimetidine __MCF7__1000nM__24h,Cimetidine ,Cimetidine ,MCF7,1000.0,24.0,503,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,test,test,train,excluded
Cimetidine __MCF7__10000nM__24h,Cimetidine ,Cimetidine ,MCF7,10000.0,24.0,414,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,test,test,train,excluded
Clevudine __A549__10nM__24h,Clevudine ,Clevudine ,A549,10.0,24.0,288,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,train,train,test,excluded
Clevudine __A549__100nM__24h,Clevudine ,Clevudine ,A549,100.0,24.0,217,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,train,train,test,excluded
Clevudine __A549__1000nM__24h,Clevudine ,Clevudine ,A549,1000.0,24.0,240,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,train,train,test,excluded
Clevudine __A549__10000nM__24h,Clevudine ,Clevudine ,A549,10000.0,24.0,292,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,train,train,test,excluded
Clevudine __K562__10nM__24h,Clevudine ,Clevudine ,K562,10.0,24.0,248,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,train,train,test,excluded
Clevudine __K562__100nM__24h,Clevudine ,Clevudine ,K562,100.0,24.0,248,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,train,train,test,excluded
Clevudine __K562__1000nM__24h,Clevudine ,Clevudine ,K562,1000.0,24.0,237,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,train,train,test,excluded
Clevudine __K562__10000nM__24h,Clevudine ,Clevudine ,K562,10000.0,24.0,247,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,train,train,test,excluded
Clevudine __MCF7__10nM__24h,Clevudine ,Clevudine ,MCF7,10.0,24.0,579,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,train,test,test,test
Clevudine __MCF7__100nM__24h,Clevudine ,Clevudine ,MCF7,100.0,24.0,540,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,train,test,test,test
Clevudine __MCF7__1000nM__24h,Clevudine ,Clevudine ,MCF7,1000.0,24.0,460,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,train,test,test,test
Clevudine __MCF7__10000nM__24h,Clevudine ,Clevudine ,MCF7,10000.0,24.0,488,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,train,test,test,test
Costunolide__A549__10nM__24h,Costunolide,Costunolide,A549,10.0,24.0,242,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,test,train,test,excluded
Costunolide__A549__100nM__24h,Costunolide,Costunolide,A549,100.0,24.0,245,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,train,train,test,excluded
Costunolide__A549__1000nM__24h,Costunolide,Costunolide,A549,1000.0,24.0,238,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,train,train,test,excluded
Costunolide__A549__10000nM__24h,Costunolide,Costunolide,A549,10000.0,24.0,244,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,test,train,test,excluded
Costunolide__K562__10nM__24h,Costunolide,Costunolide,K562,10.0,24.0,291,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,test,train,test,excluded
Costunolide__K562__100nM__24h,Costunolide,Costunolide,K562,100.0,24.0,294,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,test,train,test,excluded
Costunolide__K562__1000nM__24h,Costunolide,Costunolide,K562,1000.0,24.0,248,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,train,train,test,excluded
Costunolide__K562__10000nM__24h,Costunolide,Costunolide,K562,10000.0,24.0,273,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,train,train,test,excluded
Costunolide__MCF7__10nM__24h,Costunolide,Costunolide,MCF7,10.0,24.0,506,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,test,test,test,test
Costunolide__MCF7__100nM__24h,Costunolide,Costunolide,MCF7,100.0,24.0,417,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,test,test,test,test
Costunolide__MCF7__1000nM__24h,Costunolide,Costunolide,MCF7,1000.0,24.0,381,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,test,test,test,test
Costunolide__MCF7__10000nM__24h,Costunolide,Costunolide,MCF7,10000.0,24.0,462,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,train,test,test,test
Crizotinib (PF-02341066)__A549__10nM__24h,Crizotinib (PF-02341066),Crizotinib (PF-02341066),A549,10.0,24.0,231,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,test,train,train,train
Crizotinib (PF-02341066)__A549__100nM__24h,Crizotinib (PF-02341066),Crizotinib (PF-02341066),A549,100.0,24.0,232,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,train,train,train,train
Crizotinib (PF-02341066)__A549__1000nM__24h,Crizotinib (PF-02341066),Crizotinib (PF-02341066),A549,1000.0,24.0,237,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,test,train,train,train
Crizotinib (PF-02341066)__A549__10000nM__24h,Crizotinib (PF-02341066),Crizotinib (PF-02341066),A549,10000.0,24.0,118,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,train,train,train,train
Crizotinib (PF-02341066)__K562__10nM__24h,Crizotinib (PF-02341066),Crizotinib (PF-02341066),K562,10.0,24.0,269,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,train,train,train,train
Crizotinib (PF-02341066)__K562__100nM__24h,Crizotinib (PF-02341066),Crizotinib (PF-02341066),K562,100.0,24.0,229,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,test,train,train,train
Crizotinib (PF-02341066)__K562__1000nM__24h,Crizotinib (PF-02341066),Crizotinib (PF-02341066),K562,1000.0,24.0,148,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,train,train,train,train
Crizotinib (PF-02341066)__K562__10000nM__24h,Crizotinib (PF-02341066),Crizotinib (PF-02341066),K562,10000.0,24.0,114,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,train,train,train,train
Crizotinib (PF-02341066)__MCF7__10nM__24h,Crizotinib (PF-02341066),Crizotinib (PF-02341066),MCF7,10.0,24.0,501,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,train,test,train,excluded
Crizotinib (PF-02341066)__MCF7__100nM__24h,Crizotinib (PF-02341066),Crizotinib (PF-02341066),MCF7,100.0,24.0,451,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,train,test,train,excluded
Crizotinib (PF-02341066)__MCF7__1000nM__24h,Crizotinib (PF-02341066),Crizotinib (PF-02341066),MCF7,1000.0,24.0,407,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,test,test,train,excluded
Crizotinib (PF-02341066)__MCF7__10000nM__24h,Crizotinib (PF-02341066),Crizotinib (PF-02341066),MCF7,10000.0,24.0,310,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,train,test,train,excluded
Curcumin__A549__10nM__24h,Curcumin,Curcumin,A549,10.0,24.0,236,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,O=C(/C=C/c1ccccc1)CC(=O)/C=C/c1ccccc1,969516,train,train,train,train
