drug_name,smiles,scaffold,pubchem_cid,fingerprint_row
Belinostat (PXD101),C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO,O=S(=O)(Nc1ccccc1)c1ccccc1,6918638,32
Bisindolylmaleimide IX (Ro 31-8220 Mesylate),CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,5083,33
Bosutinib (SKI-606),CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,c1ccc(Nc2ccnc3cc(OCCCN4CCNCC4)ccc23)cc1,5328940,34
Busulfan ,CS(=O)(=O)OCCCCOS(=O)(=O)C,,2478,35
CEP-33779,CN1CCN(CC1)C2=CC=CC(=C2)NC3=NN4C=CC=C(C4=N3)C5=CC=C(C=C5)S(=O)(=O)C,c1ccc(-c2cccn3nc(Nc4cccc(N5CCNCC5)c4)nc23)cc1,57336812,36
CUDC-101,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO,c1ccc(Nc2ncnc3ccccc23)cc1,24756910,37
CUDC-907,CN(CC1=CC2=C(S1)C(=NC(=N2)C3=CN=C(C=C3)OC)N4CCOCC4)C5=NC=C(C=N5)C(=O)NO,c1cnc(NCc2cc3nc(-c4cccnc4)nc(N4CCOCC4)c3s2)nc1,54575456,38
CYC116,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,6420138,39
Capecitabine ,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,O=c1ncccn1[C@H]1CCCO1,60953,40
Carmofur,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,O=c1cc[nH]c(=O)[nH]1,2577,41
Cediranib (AZD2171),CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,9933475,42
Celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,2662,43
"Cerdulatinib (PRT062070, PRT2070)",CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,56960607,44
Cimetidine ,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,2756,45
Clevudine ,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,73115,46
Costunolide,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,5281437,47
Crizotinib (PF-02341066),C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,11626560,48
Curcumin,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,O=C(/C=C/c1ccccc1)CC(=O)/C=C/c1ccccc1,969516,49
Cyclocytidine HCl,C1=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)OC2=NC1=N.Cl,N=c1ccn2c(n1)O[C@H]1CCO[C@H]12,25050,50
Dacinostat (LAQ824),C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)/C=C/C(=O)NO,c1ccc(CNCCc2c[nH]c3ccccc23)cc1,6445533,51
Danusertib (PHA-739358),CN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3=NNC4=C3CN(C4)C(=O)[C@@H](C5=CC=CC=C5)OC,O=C(Nc1n[nH]c2c1CN(C(=O)Cc1ccccc1)C2)c1ccc(N2CCNCC2)cc1,11442891,52
Daphnetin,C1=CC(=C(C2=C1C=CC(=O)O2)O)O,O=c1ccc2ccccc2o1,5280569,53
Dasatinib,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,O=C(Nc1ccccc1)c1cnc(Nc2cc(N3CCNCC3)ncn2)s1,3062316,54
Decitabine,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,O=c1ncncn1[C@H]1CCCO1,451668,55
Disulfiram ,CCN(CC)C(=S)SSC(=S)N(CC)CC,,3117,56
Divalproex Sodium,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],,23663956,57
Droxinostat,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,c1ccccc1,568416,58
EED226,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(N3C2=NN=C3)NCC4=CC=CO4,c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,123132228,59
ENMD-2076,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,16041424,60
ENMD-2076 L-(+)-Tartaric acid ,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,C(=C/c1nc(Nc2cc[nH]n2)cc(N2CCNCC2)n1)\c1ccccc1,66576993,61
Ellagic acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,O=c1oc2cccc3c(=O)oc4cccc1c4c23,5281855,62
Entacapone,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,c1ccccc1,5281081,63
Entinostat (MS-275),C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,O=C(NCc1ccc(C(=O)Nc2ccccc2)cc1)OCc1cccnc1,4261,64
Enzastaurin (LY317615),CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7,O=C1NC(=O)C(c2cn(C3CCN(Cc4ccccn4)CC3)c3ccccc23)=C1c1c[nH]c2ccccc12,176167,65
Epothilone A,C[C@H]1CCC[C@@H]2[C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C,O=C1CCCCCC[C@H]2O[C@H]2C[C@@H](/C=C/c2cscn2)OC(=O)CCC1,448799,66
FLLL32,COC1=C(C=C(C=C1)/C=C/C(=O)C2(CCCCC2)C(=O)/C=C/C3=CC(=C(C=C3)OC)OC)OC,O=C(/C=C/c1ccccc1)C1(C(=O)/C=C/c2ccccc2)CCCCC1,68019246,67
Fasudil (HA-1077) HCl,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3.Cl,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,163751,68
"Fedratinib (SAR302503, TG101348)",CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)OCCN4CCCC4,c1ccc(Nc2ccnc(Nc3ccc(OCCN4CCCC4)cc3)n2)cc1,16722836,69
Filgotinib (GLPG0634),C1CC1C(=O)NC2=NN3C(=N2)C=CC=C3C4=CC=C(C=C4)CN5CCS(=O)(=O)CC5,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,49831257,70
Flavopiridol HCl,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O.Cl,O=c1cc(-c2ccccc2)oc2c(C3CCNCC3)cccc12,9910986,71
"Fluorouracil (5-Fluoracil, 5-FU)",C1=C(C(=O)NC(=O)N1)F,O=c1cc[nH]c(=O)[nH]1,3385,72
Fulvestrant,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,104741,73
G007-LK,CS(=O)(=O)C1=CN=C(C=C1)C2=NN=C(N2C3=CC=CC=C3Cl)/C=C/C4=NN=C(O4)C5=CC=C(C=C5)C#N,C(=C/c1nnc(-c2ccccn2)n1-c1ccccc1)\c1nnc(-c2ccccc2)o1,67960134,74
GSK1070916,CCN1C=C(C(=N1)C2=CC=C(C=C2)NC(=O)N(C)C)C3=C4C=C(NC4=NC=C3)C5=CC=CC(=C5)CN(C)C,c1ccc(-c2cc3c(-c4c[nH]nc4-c4ccccc4)ccnc3[nH]2)cc1,46885626,75
GSK J1,C1CN(CCC2=CC=CC=C21)C3=NC(=NC(=C3)NCCC(=O)O)C4=CC=CC=N4,c1ccc(-c2nccc(N3CCc4ccccc4CC3)n2)nc1,56963315,76
GSK-LSD1 2HCl,C1CNCCC1N[C@@H]2C[C@H]2C3=CC=CC=C3.Cl.Cl,c1ccc([C@@H]2C[C@H]2NC2CCNCC2)cc1,91663353,77
Gandotinib (LY2784544),CC1=CC(=NN1)NC2=NN3C(=C(N=C3C(=C2)CN4CCOCC4)C)CC5=C(C=C(C=C5)Cl)F,c1ccc(Cc2cnc3c(CN4CCOCC4)cc(Nc4cc[nH]n4)nn23)cc1,46213929,78
Givinostat (ITF2357),CCN(CC)CC1=CC2=C(C=C1)C=C(C=C2)COC(=O)NC3=CC=C(C=C3)C(=O)NO.O.Cl,O=C(Nc1ccccc1)OCc1ccc2ccccc2c1,9804991,79
Glesatinib?(MGCD265),COCCNCC1=CN=C(C=C1)C2=CC3=NC=CC(=C3S2)OC4=C(C=C(C=C4)NC(=S)NC(=O)CC5=CC=C(C=C5)F)F,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(-c4ccccn4)sc23)cc1,25181472,80
Hesperadin,CCS(=O)(=O)NC1=CC2=C(C=C1)NC(=C2C(=NC3=CC=C(C=C3)CN4CCCCC4)C5=CC=CC=C5)O,c1ccc(C(=Nc2ccc(CN3CCCCC3)cc2)c2c[nH]c3ccccc23)cc1,135421442,81
INO-1001 (3-Aminobenzamide),C1=CC(=CC(=C1)N)C(=O)N,c1ccccc1,1645,82
IOX2,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=C(C2=O)C(=O)NCC(=O)O)O,O=c1ccc2ccccc2n1Cc1ccccc1,54685215,83
ITSA-1 (ITSA1),C1=CC=C2C(=C1)N=NN2C(=O)C3=C(C=C(C=C3)Cl)Cl,O=C(c1ccccc1)n1nnc2ccccc21,771910,84
Iniparib (BSI-201),C1=CC(=C(C=C1C(=O)N)[N+](=O)[O-])I,c1ccccc1,9796068,85
Ivosidenib (AG-120),C1CC(=O)N([C@@H]1C(=O)N(C2=CC(=CN=C2)F)[C@@H](C3=CC=CC=C3Cl)C(=O)NC4CC(C4)(F)F)C5=NC=CC(=C5)C#N,O=C(NC1CCC1)[C@H](c1ccccc1)N(C(=O)[C@@H]1CCC(=O)N1c1ccccn1)c1cccnc1,71657455,86
JNJ-7706621,C1=CC(=C(C(=C1)F)C(=O)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,O=C(c1ccccc1)n1cnc(Nc2ccccc2)n1,5330790,87
JNJ-26854165 (Serdemetan),C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1,11609586,88
KW-2449,C1CN(CCN1)C(=O)C2=CC=C(C=C2)/C=C/C3=NNC4=CC=CC=C43,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,11427553,89
Ki8751,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC(=C(C=C3)NC(=O)NC4=C(C=C(C=C4)F)F)F,O=C(Nc1ccccc1)Nc1ccc(Oc2ccnc3ccccc23)cc1,11317348,90
Ki16425,CC1=NOC(=C1NC(=O)OC(C)C2=CC=CC=C2Cl)C3=CC=C(C=C3)CSCCC(=O)O,O=C(Nc1cnoc1-c1ccccc1)OCc1ccccc1,10367662,91
Lapatinib (GW-572016) Ditosylate,CC1=CC=C(C=C1)S(=O)(=O)O.CC1=CC=C(C=C1)S(=O)(=O)O.CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1.c1ccccc1.c1ccccc1,9941095,92
Lenalidomide (CC-5013),C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,O=C1CCC(N2Cc3ccccc3C2=O)C(=O)N1,216326,93
Linifanib (ABT-869),CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N,O=C(Nc1ccccc1)Nc1ccc(-c2cccc3[nH]ncc23)cc1,11485656,94
Lomustine ,C1CCC(CC1)NC(=O)N(CCCl)N=O,C1CCCCC1,3950,95
"Luminespib (AUY-922, NVP-AUY922)",CCNC(=O)C1=NOC(=C1C2=CC=C(C=C2)CN3CCOCC3)C4=CC(=C(C=C4O)O)C(C)C,c1ccc(-c2oncc2-c2ccc(CN3CCOCC3)cc2)cc1,135539077,96
M344,CN(C)C1=CC=C(C=C1)C(=O)NCCCCCCC(=O)NO,c1ccccc1,3994,97
MC1568,CN1C=C(C=C1/C=C/C(=O)NO)/C=C/C(=O)C2=CC(=CC=C2)F,O=C(/C=C/c1cc[nH]c1)c1ccccc1,11381449,98
MK-0752,C1CC(CCC1CCC(=O)O)(C2=C(C=CC(=C2)F)F)S(=O)(=O)C3=CC=C(C=C3)Cl,O=S(=O)(c1ccccc1)C1(c2ccccc2)CCCCC1,9803433,99
MK-5108 (VX-689),C1CC(CCC1OC2=C(C(=CC=C2)Cl)F)(CC3=NC(=CC=C3)NC4=NC=CS4)C(=O)O,c1ccc(OC2CCC(Cc3cccc(Nc4nccs4)n3)CC2)cc1,24748204,100
MLN8054,C1C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)C(=N1)C4=C(C=CC=C4F)F)NC5=CC=C(C=C5)C(=O)O,c1ccc(Nc2ncc3c(n2)-c2ccccc2C(c2ccccc2)=NC3)cc1,11712649,101
Maraviroc,CC1=NN=C(N1C2C[C@H]3CC[C@@H](C2)N3CC[C@@H](C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,O=C(N[C@@H](CCN1[C@@H]2CC[C@H]1CC(n1cnnc1)C2)c1ccccc1)C1CCCCC1,3002977,102
Meprednisone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@H]3C(=O)C[C@@]2([C@]1(C(=O)CO)O)C)C,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC(=O)[C@H]21,5284587,103
Mercaptopurine (6-MP),C1=NC2=C(N1)C(=S)N=CN2,S=c1nc[nH]c2nc[nH]c12,667490,104
Mesna ,C(CS(=O)(=O)[O-])S.[Na+],,23662354,105
Mocetinostat (MGCD0103),C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC3=NC=CC(=N3)C4=CN=CC=C4,O=C(Nc1ccccc1)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1,9865515,106
Momelotinib (CYT387),C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=CC=C(C=C4)C(=O)NCC#N,c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,25062766,107
Motesanib Diphosphate (AMG-706),CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C.OP(=O)(O)O.OP(=O)(O)O,O=C(Nc1ccc2c(c1)NCC2)c1cccnc1NCc1ccncc1,16097729,108
NVP-BSK805 2HCl,C1CNCCC1N2C=C(C=N2)C3=NC4=C(C=CC=C4N=C3)C5=CC(=C(C(=C5)F)CN6CCOCC6)F.Cl.Cl,c1cc(-c2ccc(CN3CCOCC3)cc2)c2nc(-c3cnn(C4CCNCC4)c3)cnc2c1,57339395,109
Navitoclax (ABT-263),CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,O=C(NS(=O)(=O)c1ccc(N[C@H](CCN2CCOCC2)CSc2ccccc2)cc1)c1ccc(N2CCN(CC3=C(c4ccccc4)CCCC3)CC2)cc1,24978538,110
Nilotinib (AMN-107),CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,644241,111
Nintedanib (BIBF 1120),CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N=C(C3=CC=CC=C3)C4=C(NC5=C4C=CC(=C5)C(=O)OC)O,O=C(CN1CCNCC1)Nc1ccc(N=C(c2ccccc2)c2c[nH]c3ccccc23)cc1,135423438,112
Obatoclax Mesylate (GX15-070),CC1=CC(=C(N1)/C=C\2/C(=C/C(=C/3\C=C4C=CC=CC4=N3)/N2)OC)C.CS(=O)(=O)O,C1=c2ccccc2=N/C1=c1/cc/c(=C/c2ccc[nH]2)[nH]1,16681698,113
Ofloxacin,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,4583,114
PCI-34051,COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO,c1ccc(Cn2ccc3ccccc32)cc1,24753719,115
PD98059,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2,O=c1cc(-c2ccccc2)oc2ccccc12,4713,116
PD173074,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C,c1ccc(-c2cnc3ncncc3c2)cc1,1401,117
PF-3845,C1CN(CCC1CC2=CC(=CC=C2)OC3=NC=C(C=C3)C(F)(F)F)C(=O)NC4=CN=CC=C4,O=C(Nc1cccnc1)N1CCC(Cc2cccc(Oc3ccccn3)c2)CC1,25154867,118
PF-573228,CS(=O)(=O)C1=CC=CC(=C1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)CC4,O=C1CCc2cc(Nc3nccc(NCc4ccccc4)n3)ccc2N1,11612883,119
PFI-1 (PF-6405761),CN1CC2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3OC)NC1=O,O=C1NCc2cc(NS(=O)(=O)c3ccccc3)ccc2N1,71271629,120
PHA-680632,CCC1=C(C(=CC=C1)CC)NC(=O)N2CC3=C(C2)NN=C3NC(=O)C4=CC=C(C=C4)N5CCN(CC5)C,O=C(Nc1n[nH]c2c1CN(C(=O)Nc1ccccc1)C2)c1ccc(N2CCNCC2)cc1,11249084,121
PJ34,CN(C)CC(=O)NC1=CC2=C(C=C1)NC(=O)C3=CC=CC=C32,O=c1[nH]c2ccccc2c2ccccc12,4858,122
Panobinostat (LBH589),CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO,c1ccc(CNCCc2c[nH]c3ccccc23)cc1,6918837,123
